id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fixtures_played,fixtures_not_played,form,avg_pts/fixture,avg_pts/fixture_played,MeanAbsDev(form),MeanAbsDev(avg_pts/fixture),MeanAbsDev(avg_pts/fixture_played),xPts,fplAdv_nxtGWs,^fplAdv*xPts,defAdv_nxtGWs,^defAdv*xPts,attAdv_nxtGWs,^attAdv*xPts,^avgAdv*xPts,#OfMatches_nxtGWs,gw8Pts,tot_aPts,(tot_aPts)-(^avgAdv*xPts),nxtGWsPtsTrend
9,Gabriel,Martinelli Silva,MID,ARS,1↑,"Martinelli (MID, 1↑)",34,7,0,8.0,4.85714285714,4.857142857142857,3.33333333333,2.69387755102,2.69387755102,6.79953539321,6,10.22222222222,0,0.0,5,9.85185185185,10.03703703704,1,1,1,-9.03703703704,5↓
17,Bukayo,Saka,MID,ARS,5↑,"Saka (MID, 5↑)",54,7,0,7.666666666666667,7.71428571429,7.714285714285714,5.55555555556,3.59183673469,3.59183673469,7.68485552435,6,11.370370370373331,0,0.0,5,10.753086419755556,11.06172839506,1,0,0,-11.06172839506,5↓
4,Kai,Havertz,FWD,ARS,3↑,"Havertz (FWD, 3↑)",40,7,0,5.333333333333333,5.71428571429,5.714285714285714,2.22222222222,3.18367346939,3.18367346939,5.47884419476,6,6.814814814813333,0,0.0,5,6.5679012345666665,6.69135802469,1,2,2,-4.69135802469,4↓
23,Leandro,Trossard,MID,ARS,2↓,"Trossard (MID, 2↓)",23,7,0,3.6666666666666665,3.28571428571,3.2857142857142856,5.55555555556,3.55102040816,3.55102040816,3.52115580524,6,7.370370370373333,0,0.0,5,6.753086419755555,7.06172839506,1,3,3,-4.06172839506,3↓
578,Riccardo,Calafiori,DEF,ARS,~,"Calafiori (DEF, ~)",13,5,2,3.6666666666666665,1.85714285714,2.6,3.55555555556,2.08163265306,2.56,2.97549007488,6,6.037037037039999,4,5.246913580248888,0,0.0,5.64197530864,1,1,1,-4.64197530864,4↓
3,Gabriel,dos Santos Magalhães,DEF,ARS,4↓,"Gabriel (DEF, 4↓)",39,7,0,3.333333333333333,5.57142857143,5.571428571428571,2.44444444444,3.34693877551,3.34693877551,4.18820964423,6,4.962962962960001,4,4.419753086417778,0,0.0,4.69135802469,1,1,1,-3.6913580246900004,3↓
15,David,Raya Martin,GKP,ARS,3↓,"Raya (GKP, 3↓)",36,7,0,2.333333333333333,5.14285714286,5.142857142857143,1.11111111111,3.30612244898,3.30612244898,3.40647593637,6,3.0740740740733337,4,2.827160493826667,0,0.0,2.95061728395,1,1,1,-1.9506172839499998,2↓
6,Jurriën,Timber,DEF,ARS,3↓,"J.Timber (DEF, 3↓)",19,6,1,2.0,2.71428571429,3.1666666666666665,1.33333333333,1.95918367347,1.83333333333,2.27283286518,6,2.8888888888866666,4,2.592592592591111,0,0.0,2.74074074074,1,0,0,-2.74074074074,3↓
20,Thomas,Partey,MID,ARS,~,"Thomas (MID, ~)",23,7,0,1.6666666666666667,3.28571428571,3.2857142857142856,0.44444444444,2.20408163265,2.20408163265,2.28508782774,6,1.96296296296,0,0.0,5,1.9135802469111112,1.93827160494,1,2,2,0.06172839506000005,~
16,Declan,Rice,MID,ARS,1↑,"Rice (MID, 1↑)",8,6,1,1.6666666666666667,1.14285714286,1.3333333333333333,0.44444444444,1.26530612245,1.22222222222,1.4665892322,6,1.96296296296,0,0.0,5,1.9135802469111112,1.93827160494,1,2,2,0.06172839506000005,~
18,William,Saliba,DEF,ARS,~,"Saliba (DEF, ~)",22,7,0,1.0,3.14285714286,3.142857142857143,0.66666666667,2.16326530612,2.16326530612,1.81849859554,6,1.4444444444466666,4,1.2962962962977778,0,0.0,1.37037037037,1,-3,-3,-4.37037037037,4↓
7,Jorge Luiz,Frello Filho,MID,ARS,1↑,"Jorginho (MID, 1↑)",4,2,5,0.6666666666666666,0.57142857143,2.0,0.88888888889,0.81632653061,0.0,0.63028895131,6,1.2592592592599998,0,0.0,5,1.160493827161111,1.20987654321,1,0,0,-1.20987654321,1↓
2,Gabriel,Fernando de Jesus,FWD,ARS,~,"G.Jesus (FWD, ~)",3,5,2,0.6666666666666666,0.42857142857,0.6,0.44444444444,0.48979591837,0.48,0.57572237827,6,0.96296296296,0,0.0,5,0.9135802469111112,0.93827160494,1,1,1,0.06172839506000005,~
186,Raheem,Sterling,MID,ARS,~,"Sterling (MID, ~)",3,3,4,0.6666666666666666,0.42857142857,1.0,0.44444444444,0.48979591837,0.0,0.57572237827,6,0.96296296296,0,0.0,5,0.9135802469111112,0.93827160494,1,1,1,0.06172839506000005,~
8,Jakub,Kiwior,DEF,ARS,~,"Kiwior (DEF, ~)",2,2,5,0.6666666666666666,0.28571428571,1.0,0.44444444444,0.40816326531,0.0,0.52115580524,6,0.96296296296,4,0.8641975308622222,0,0.0,0.91358024691,1,0,0,-0.91358024691,~
24,Benjamin,White,DEF,ARS,3↓,"White (DEF, 3↓)",21,5,2,0.3333333333333333,3.0,4.2,0.44444444444,2.57142857143,2.16,1.35190936333,6,0.6296296296266666,4,0.5308641975288888,0,0.0,0.58024691358,1,0,0,-0.58024691358,~
12,Ethan,Nwaneri,MID,ARS,~,"Nwaneri (MID, ~)",2,2,5,0.3333333333333333,0.28571428571,1.0,0.44444444444,0.40816326531,0.0,0.31514447565,6,0.6296296296266666,0,0.0,5,0.5802469135777777,0.6049382716,1,1,1,0.3950617284,~
22,Tomiyasu,Takehiro,DEF,ARS,~,"Tomiyasu (DEF, ~)",1,1,6,0.3333333333333333,0.14285714286,1.0,0.44444444444,0.24489795918,0.0,0.26057790262,6,0.6296296296266666,4,0.5308641975288888,0,0.0,0.58024691358,1,0,0,-0.58024691358,~
633,Mikel,Merino,MID,ARS,~,"Merino (MID, ~)",1,1,6,0.3333333333333333,0.14285714286,1.0,0.44444444444,0.24489795918,0.0,0.26057790262,6,0.6296296296266666,0,0.0,5,0.5802469135777777,0.6049382716,1,2,2,1.3950617284,1↑
13,Martin,Ødegaard,MID,ARS,~,"Ødegaard (MID, ~)",7,3,4,0.0,1.0,2.333333333333333,0.0,1.14285714286,0.44444444444,0.38196601125,6,0.0,0,0.0,5,0.0,0.0,1,0,0,0.0,~
25,Oleksandr,Zinchenko,DEF,ARS,~,"Zinchenko (DEF, ~)",7,2,5,0.0,1.0,3.5,0.0,1.42857142857,2.5,0.38196601125,6,0.0,4,0.0,0,0.0,0.0,1,0,0,0.0,~
73,Norberto,Murara Neto,GKP,ARS,~,"Neto (GKP, ~)",7,2,5,0.0,1.0,3.5,0.0,1.42857142857,0.5,0.38196601125,6,0.0,4,0.0,0,0.0,0.0,1,0,0,0.0,~
1,Fábio,Ferreira Vieira,MID,ARS,~,"Fábio Vieira (MID, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0,0.0,5,0.0,0.0,1,0,0,0.0,~
5,Karl,Hein,GKP,ARS,~,"Hein (GKP, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,4,0.0,0,0.0,0.0,1,0,0,0.0,~
21,Kieran,Tierney,DEF,ARS,~,"Tierney (DEF, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,4,0.0,0,0.0,0.0,1,0,0,0.0,~
597,Myles,Lewis-Skelly,MID,ARS,~,"Lewis-Skelly (MID, ~)",0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0,0.0,5,0.0,0.0,1,0,0,0.0,~
638,Salah-Eddine,Oulad M'hand,MID,ARS,~,"Oulad M'hand (MID, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0,0.0,5,0.0,0.0,1,0,0,0.0,~
639,Tommy,Setford,GKP,ARS,~,"Setford (GKP, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,4,0.0,0,0.0,0.0,1,0,0,0.0,~
657,Maldini,Kacurri,DEF,ARS,~,"Kacurri (DEF, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,4,0.0,0,0.0,0.0,1,0,0,0.0,~
658,Ayden,Heaven,DEF,ARS,~,"Heaven (DEF, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,4,0.0,0,0.0,0.0,1,0,0,0.0,~
659,Ismeal,Kabia,MID,ARS,~,"Kabia (MID, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0,0.0,5,0.0,0.0,1,0,0,0.0,~
662,Josh,Nichols,DEF,ARS,~,"Nichols (DEF, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,4,0.0,0,0.0,0.0,1,0,0,0.0,~
665,Nathan,Butler-Oyedeji,FWD,ARS,?,"Butler-Oyedeji (FWD, ?)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0,0.0,5,0.0,0.0,1,0,0,0.0,~
54,Morgan,Rogers,MID,AVL,~,"Rogers (MID, ~)",28,7,0,6.666666666666667,4.0,4.0,2.44444444444,2.57142857143,2.57142857143,5.64809063667,1,6.938271604937778,0,0.0,0,6.666666666666667,6.8024691358,1,6,6,-0.8024691358,~
58,Ollie,Watkins,FWD,AVL,2↓,"Watkins (FWD, 2↓)",41,7,0,6.333333333333333,5.85714285714,5.857142857142857,3.11111111111,3.55102040816,3.55102040816,6.15144475655,1,6.679012345678888,0,0.0,0,6.333333333333333,6.50617283951,1,8,8,1.4938271604900004,1↑
47,Emiliano,Martínez Romero,GKP,AVL,5↑,"Martinez (GKP, 5↑)",20,7,0,4.666666666666667,2.85714285714,2.857142857142857,2.88888888889,1.83673469388,1.83673469388,3.97549007488,1,4.987654320987778,1,4.987654320987778,0,0.0,4.98765432099,1,8,8,3.01234567901,3↑
44,Ezri,Konsa Ngoyo,DEF,AVL,~,"Konsa (DEF, ~)",17,7,0,3.6666666666666665,2.42857142857,2.4285714285714284,3.55555555556,1.87755102041,1.87755102041,3.19375636702,1,4.061728395062222,1,4.061728395062222,0,0.0,4.06172839506,1,0,0,-4.06172839506,3↓
57,Youri,Tielemans,MID,AVL,1↑,"Tielemans (MID, 1↑)",22,7,0,3.333333333333333,3.14285714286,3.142857142857143,1.11111111111,1.63265306122,1.63265306122,3.26057790262,1,3.456790123456667,0,0.0,0,3.333333333333333,3.3950617284,1,8,8,4.6049382716,4↑
36,Lucas,Digne,DEF,AVL,4↑,"Digne (DEF, 4↑)",24,7,0,3.0,3.42857142857,3.4285714285714284,3.33333333333,2.48979591837,2.48979591837,3.16369971911,1,3.37037037037,1,3.37037037037,0,0.0,3.37037037037,1,4,4,0.6296296296300001,~
28,Leon,Bailey,MID,AVL,2↑,"Bailey (MID, 2↑)",13,6,1,3.0,1.85714285714,2.1666666666666665,1.33333333333,1.26530612245,1.22222222222,2.56346741571,1,3.148148148147777,0,0.0,0,3.0,3.07407407407,1,1,1,-2.07407407407,2↓
35,Diego Carlos,Santos Silva,DEF,AVL,4↑,"Diego Carlos (DEF, 4↑)",9,3,4,3.0,1.28571428571,3.0,2.0,1.55102040816,2.0,2.34520112357,1,3.2222222222222223,1,3.2222222222222223,0,0.0,3.22222222222,1,2,2,-1.22222222222,1↓
52,Pau,Torres,DEF,AVL,4↑,"Pau (DEF, 4↑)",14,7,0,2.6666666666666665,2.0,2.0,2.22222222222,1.14285714286,1.14285714286,2.41202265917,1,2.913580246913333,1,2.913580246913333,0,0.0,2.91358024691,1,2,2,-0.9135802469100001,~
38,Jhon,Durán,FWD,AVL,1↓,"Duran (FWD, 1↓)",27,7,0,2.333333333333333,3.85714285714,3.857142857142857,1.77777777778,2.44897959184,2.44897959184,2.91537677905,1,2.5308641975311112,0,0.0,0,2.333333333333333,2.43209876543,1,1,1,-1.4320987654300001,1↓
32,Matty,Cash,DEF,AVL,4↑,"Cash (DEF, 4↑)",9,3,4,2.0,1.28571428571,3.0,2.66666666667,1.55102040816,2.0,1.72716713482,1,2.2962962962966667,1,2.2962962962966667,0,0.0,2.2962962963,1,2,2,-0.2962962963,~
233,Amadou,Onana,MID,AVL,2↓,"Onana (MID, 2↓)",25,6,1,1.3333333333333333,3.57142857143,4.166666666666667,0.88888888889,3.38775510204,3.55555555556,2.18820964423,1,1.432098765432222,0,0.0,0,1.3333333333333333,1.38271604938,1,2,2,0.6172839506200001,~
53,Jacob,Ramsey,MID,AVL,1↓,"Ramsey (MID, 1↓)",13,6,1,1.3333333333333333,1.85714285714,2.1666666666666665,0.88888888889,0.77551020408,0.61111111111,1.5334107678,1,1.432098765432222,0,0.0,0,1.3333333333333333,1.38271604938,1,5,5,3.61728395062,3↑
569,Jaden,Philogene,MID,AVL,3↑,"Jaden (MID, 3↑)",5,4,3,1.3333333333333333,0.71428571429,1.25,1.11111111111,0.81632653061,0.875,1.09687818351,1,1.4567901234566665,0,0.0,0,1.3333333333333333,1.3950617284,1,-2,-2,-3.3950617284,3↓
29,Ross,Barkley,MID,AVL,1↑,"Barkley (MID, 1↑)",9,6,1,1.0,1.28571428571,1.5,0.66666666667,0.97959183673,1.0,1.10913314607,1,1.0740740740744443,0,0.0,0,1.0,1.03703703704,1,1,1,-0.03703703703999994,~
45,Ian,Maatsen,DEF,AVL,~,"Maatsen (DEF, ~)",7,7,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,1.0,1,1.0,0,0.0,1.0,1,0,0,-1.0,~
31,Emiliano,Buendía Stati,MID,AVL,~,"Buendia (MID, ~)",3,3,4,0.6666666666666666,0.42857142857,1.0,0.44444444444,0.48979591837,0.0,0.57572237827,1,0.7160493827155555,0,0.0,0,0.6666666666666666,0.69135802469,1,1,1,0.30864197531000004,~
48,John,McGinn,MID,AVL,~,"McGinn (MID, ~)",9,5,2,0.3333333333333333,1.28571428571,1.8,0.44444444444,0.89795918367,0.64,0.6971104869,1,0.3827160493822222,0,0.0,0,0.3333333333333333,0.35802469136,1,1,1,0.64197530864,~
50,Kosta,Nedeljković,DEF,AVL,~,"Nedeljkovic (DEF, ~)",3,3,4,0.0,0.42857142857,1.0,0.0,0.48979591837,0.0,0.16369971911,1,0.0,1,0.0,0,0.0,0.0,1,0,0,0.0,~
598,Lamare,Bogarde,DEF,AVL,~,"Bogarde (DEF, ~)",2,2,5,0.0,0.28571428571,1.0,0.0,0.40816326531,0.0,0.10913314607,1,0.0,1,0.0,0,0.0,0.0,1,0,0,0.0,~
30,Enzo,Barrenechea,MID,AVL,~,"Barrenechea (MID, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0.0,1,0,0,0.0,~
33,Leander,Dendoncker,MID,AVL,~,"Dendoncker (MID, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0.0,1,0,0,0.0,~
34,Moussa,Diaby,MID,AVL,~,"Diaby (MID, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0.0,1,0,0,0.0,~
37,Lewis,Dobbin,MID,AVL,~,"Dobbin (MID, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0.0,1,0,0,0.0,~
39,Joe,Gauci,GKP,AVL,~,"Gauci (GKP, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0,0.0,0.0,1,0,0,0.0,~
40,Kortney,Hause,DEF,AVL,~,"Hause (DEF, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0,0.0,0.0,1,0,0,0.0,~
41,Samuel,Iling-Junior,MID,AVL,~,"Iling Jr (MID, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0.0,1,0,0,0.0,~
42,Boubacar,Kamara,MID,AVL,~,"Kamara (MID, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0.0,1,0,0,0.0,~
43,Kaine,Kesler-Hayden,DEF,AVL,~,"Kesler-Hayden (DEF, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0,0.0,0.0,1,0,0,0.0,~
46,Filip,Marschall,GKP,AVL,~,"Marschall (GKP, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0,0.0,0.0,1,0,0,0.0,~
49,Tyrone,Mings,DEF,AVL,~,"Mings (DEF, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0,0.0,0.0,1,0,0,0.0,~
51,Robin,Olsen,GKP,AVL,~,"Olsen (GKP, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0,0.0,0.0,1,0,0,0.0,~
55,Viljami,Sinisalo,GKP,AVL,~,"Sinisalo (GKP, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0,0.0,0.0,1,0,0,0.0,~
56,Lino,da Cruz Sousa,DEF,AVL,~,"Sousa (DEF, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0,0.0,0.0,1,0,0,0.0,~
640,Sil,Swinkels,DEF,AVL,~,"Swinkels (DEF, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0,0.0,0.0,1,0,0,0.0,~
641,Oliwier,Zych,GKP,AVL,~,"Zych (GKP, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0,0.0,0.0,1,0,0,0.0,~
656,Kadan,Young,MID,AVL,~,"Young (MID, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0.0,1,0,0,0.0,~
618,Georginio,Rutter,MID,BHA,5↑,"Georginio (MID, 5↑)",25,6,1,6.666666666666667,3.57142857143,4.166666666666667,3.11111111111,3.10204081633,3.22222222222,5.48439091756,1,7.012345679012222,0,0.0,0,6.666666666666667,6.83950617284,1,6,6,-0.8395061728400002,~
148,Danny,Welbeck,FWD,BHA,4↑,"Welbeck (FWD, 4↑)",41,7,0,5.333333333333333,5.85714285714,5.857142857142857,2.22222222222,3.30612244898,3.30612244898,5.5334107678,1,5.58024691358,0,0.0,0,5.333333333333333,5.45679012346,1,9,9,3.5432098765399997,3↑
115,Carlos,Baleba,MID,BHA,~,"Baleba (MID, ~)",21,6,1,5.0,3.0,3.5,4.66666666667,2.57142857143,2.83333333333,4.2360679775,1,5.5185185185188885,0,0.0,0,5.0,5.25925925926,1,3,3,-2.2592592592600003,2↓
126,Jack,Hinshelwood,MID,BHA,~,"Hinshelwood (MID, ~)",23,7,0,4.666666666666667,3.28571428571,3.2857142857142856,3.55555555556,1.91836734694,1.91836734694,4.13918979399,1,5.061728395062223,0,0.0,0,4.666666666666667,4.86419753086,1,2,2,-2.8641975308600003,3↓
136,Mitoma,Kaoru,MID,BHA,3↑,"Mitoma (MID, 3↑)",31,7,0,4.0,4.42857142857,4.428571428571429,1.33333333333,1.79591836735,1.79591836735,4.16369971911,1,4.1481481481477775,0,0.0,0,4.0,4.07407407407,1,1,1,-3.0740740740700003,3↓
135,Yankuba,Minteh,MID,BHA,4↑,"Minteh (MID, 4↑)",21,7,0,3.0,3.0,3.0,2.66666666667,1.71428571429,1.71428571429,3.0,1,3.2962962962966667,0,0.0,0,3.0,3.14814814815,1,0,0,-3.14814814815,3↓
144,Jan Paul,van Hecke,DEF,BHA,1↓,"Van Hecke (DEF, 1↓)",19,5,2,1.3333333333333333,2.71428571429,3.8,1.77777777778,2.24489795918,1.84,1.86081020601,1,1.530864197531111,-2,0.9382716049377776,0,0.0,1.23456790123,1,1,1,-0.23456790122999993,~
149,Mats,Wieffer,MID,BHA,~,"Wieffer (MID, ~)",9,4,3,1.0,1.28571428571,2.25,0.0,1.34693877551,1.875,1.10913314607,1,1.0,0,0.0,0,1.0,1.0,1,1,1,0.0,~
145,Joël,Veltman,DEF,BHA,~,"Veltman (DEF, ~)",21,6,1,0.6666666666666666,3.0,3.5,0.44444444444,2.57142857143,2.66666666667,1.55792069292,1,0.7160493827155555,-2,0.5679012345688889,0,0.0,0.64197530864,1,7,7,6.35802469136,4↑
113,Simon,Adingra,MID,BHA,~,"Adingra (MID, ~)",14,5,2,0.6666666666666666,2.0,2.8,0.88888888889,1.71428571429,1.76,1.17595468167,1,0.7654320987655555,0,0.0,0,0.6666666666666666,0.71604938272,1,0,0,-0.71604938272,~
121,Julio,Enciso,MID,BHA,~,"Enciso (MID, ~)",5,5,2,0.6666666666666666,0.71428571429,1.0,0.44444444444,0.40816326531,0.0,0.68485552435,1,0.7160493827155555,0,0.0,0,0.6666666666666666,0.69135802469,1,1,1,0.30864197531000004,~
123,Evan,Ferguson,FWD,BHA,~,"Ferguson (FWD, ~)",3,3,4,0.6666666666666666,0.42857142857,1.0,0.44444444444,0.48979591837,0.0,0.57572237827,1,0.7160493827155555,0,0.0,0,0.6666666666666666,0.69135802469,1,1,1,0.30864197531000004,~
