att_rank,att_tier,team,att_xPts,avg_GF/match,att_potential,attAdv_nxtGWs
4,2,MCI,27.83552593625,2.375,0.95118821388,7
5,3,BHA,31.7453559925,1.75,0.92714548376,7
8,4,BRE,27.45922025984,1.75,0.45637836579,6
1,1,TOT,34.92840608625,2.25,1.63953803851,4
3,2,LIV,31.49932244844,1.875,0.99081809727,3
7,4,AVL,27.97711873828,1.875,0.60395734601,2
2,1,CHE,32.94993224484,2.125,1.33153696784,1
13,7,EVE,23.53216927672,1.125,-0.42842709583,0
15,8,NEW,21.16742419234,1.0,-0.77885421438,0
17,9,MUN,21.13162723547,0.875,-0.87348164148,0
10,5,FUL,26.97711873828,1.375,0.13133979259,-1
14,7,WOL,19.69528823734,1.25,-0.75915471411,-1
16,8,NFO,20.65383094562,1.0,-0.83526465671,-1
18,9,IPS,20.24603354406,0.75,-1.06144637393,-1
6,3,ARS,28.98708430484,1.875,0.71488677258,-2
9,5,BOU,28.70094857219,1.25,0.22998072763,-2
11,6,WHU,26.39193157781,1.375,0.06706584277,-4
12,6,LEI,24.97281350656,1.5,0.00189288151,-5
20,10,CRY,13.64952571391,0.625,-1.87666856105,-6
19,10,SOU,16.86837276453,0.75,-1.43243127264,-7
