att_rank,def_rank,(def-att)_rank,team,att_med_xPts,def_med_xPts,(att-def)_med_xPts,attAdv_nxtGWs,defAdv_nxtGWs,(att-def)Adv_nxtGWs,#OfMatches_nxtGWs,(att-def)Adv_nxtGWs/#OfMatches_nxtGWs,#atts,#defs
17,2,-15,CRY,18.090169943749473,31.257354213751995,-13.167184270002522,-11,22,-33,5,-6.6,0,3
18,6,-12,AVL,19.76393202250021,26.54915028125263,-6.785218258752419,-12,12,-24,5,-4.8,0,3
14,5,-9,SUN,23.76393202250021,16.47213595499958,7.291796067500631,-11,6,-17,5,-3.4,0,3
20,20,0,WOL,13.854101966249685,12.70820393249937,1.1458980337503153,-28,-17,-11,5,-2.2,0,3
15,11,-4,EVE,22.618033988749893,12.0,10.618033988749893,-13,-4,-9,5,-1.8,0,3
13,12,-1,FUL,25.52786404500042,10.618033988749895,14.909830056250525,-15,-6,-9,5,-1.8,1,2
12,8,-4,NEW,26.29179606750063,12.090169943749475,14.201626123751156,-5,3,-8,5,-1.6,1,2
2,4,2,MCI,33.3819660112501,20.090169943749473,13.291796067500627,18,25,-7,5,-1.4,1,2
1,1,0,ARS,33.76393202250021,34.09016994374947,-0.3262379212492661,22,24,-2,5,-0.4,1,2
6,3,-3,CHE,29.381966011250103,28.87538820250189,0.5065778087482116,14,13,1,5,0.2,1,2
5,7,2,BOU,28.090169943749473,13.326237921249264,14.763932022500208,11,10,1,5,0.2,2,1
16,16,0,WHU,23.81966011250105,12.909830056250525,10.909830056250525,-13,-18,5,5,1.0,2,1
7,13,6,MUN,30.29179606750063,16.0,14.29179606750063,9,3,6,5,1.2,2,1
19,19,0,NFO,21.201626123751154,9.52786404500042,11.673762078750734,-16,-24,8,5,1.6,2,1
10,18,8,BUR,29.437694101250948,10.0,19.437694101250948,-5,-15,10,5,2.0,2,1
3,10,7,TOT,31.47213595499958,12.0,19.47213595499958,18,4,14,5,2.8,3,0
4,9,5,BHA,30.0,16.58359213500126,13.416407864998739,26,11,15,5,3.0,3,0
11,17,6,LEE,26.76393202250021,9.47213595499958,17.29179606750063,-8,-23,15,5,3.0,3,0
8,15,7,LIV,28.236067977499786,14.437694101250946,13.79837387624884,15,-7,22,5,4.4,3,0
9,14,5,BRE,30.437694101250948,13.0,17.437694101250948,4,-19,23,5,4.6,3,0
