def_rank,def_tier,team,avg_CS/match,avg_GA/match,avg_GF/match,defAdv_nxtGWs
2,1,ARS,0.5,0.5,1.5,11
1,1,MCI,1.0,0.0,2.0,10
4,1,BRE,0.5,1.0,2.5,9
5,2,TOT,0.5,1.0,2.0,8
3,1,CRY,0.5,0.5,0.5,7
8,2,AVL,0.5,2.5,2.5,6
7,2,FUL,0.5,1.5,0.5,5
6,2,MUN,0.5,1.0,0.5,4
9,3,BHA,0.0,1.0,4.0,-2
13,4,NFO,0.0,1.5,1.5,-2
10,3,NEW,0.0,1.0,2.5,-3
11,3,WHU,0.0,1.0,2.0,-3
12,3,LIV,0.0,1.0,2.0,-3
16,4,CHE,0.0,2.0,1.0,-5
17,5,WOL,0.0,2.5,0.5,-5
14,4,SHU,0.0,1.5,0.5,-6
18,5,EVE,0.0,2.5,0.0,-6
20,5,LUT,0.0,4.0,1.0,-6
15,4,BOU,0.0,2.0,1.0,-9
19,5,BUR,0.0,3.0,0.0,-10
