att_rank,att_tier,team,att_xPts,avg_GF/match,^att_xPts*avg_GF/match,attAdv_nxtGWs
2,1,LIV,42.7176,2.33333,2.33333,31
1,1,MCI,38.1146,3.0,2.67674,19
4,2,BHA,37.1146,2.0,1.73767,17
10,5,AVL,26.0,1.33333,0.81153,13
6,3,BRE,29.6794,1.66667,1.15797,11
3,2,CHE,33.8172,2.33333,1.84717,8
8,4,ARS,28.9618,1.66667,1.12997,8
7,4,BOU,29.2292,1.66667,1.14041,6
5,3,TOT,27.0382,2.0,1.2659,5
9,5,NEW,26.9618,1.33333,0.84155,4
11,6,WHU,22.6794,1.33333,0.70788,2
14,7,LEI,23.9468,1.0,0.56058,-2
12,6,NFO,26.0,1.0,0.60865,-5
16,8,MUN,19.9236,0.66667,0.31094,-9
17,9,EVE,18.2824,0.66667,0.28532,-11
18,9,IPS,16.8404,0.66667,0.26282,-14
13,7,FUL,24.0764,1.0,0.56362,-17
20,10,SOU,13.4352,0.33333,0.10484,-20
15,8,WOL,18.9086,1.0,0.44264,-22
19,10,CRY,14.7176,0.66667,0.22969,-24
